taxon_name,description
Triodia dielsii,"Plants robust, forming hummocks 0.6-0.8 m high. Culms ±smooth or minutely scaberulous; flowering culms 1.4-2.5 m high. Leaves: sheath indurated, glabrous or basal ones hirsute; orifice shortly ciliate; blade folded, 24-50 cm long, 1-1.8 mm wide, with prominent thick abaxial nerves, scabrous. Panicles dense, 24-29 cm long, 4-7 cm wide; axis ribbed, with prominent pulvini; primary branches 10-16 cm long, further divided; secondary branches to 15 mm long. Spikelets cuneate, 13-15 mm long (including awns); pedicel 2-7 mm long; rachilla internodes c. 2 mm long; florets 4. Glumes ±equal, lanceolate, 8-14 mm long, entire or notched, sometimes mucronulate, scarious, 3-5-nerved, glabrous. Callus blunt to acute, c. 0.7 mm long, bearded. Basal lemma 5-6 mm long (body), cartilaginous with hyaline margins, 3-5-nerved, with rows of long white spreading hairs; midlobe (including awn) 2.5-6 mm long; lateral lobes (with awns) 0.8-2.5 mm long. Palea ±as long as lemma body, entire or 2-lobed, cartilaginous or sometimes thinner near apex, hairy in lower part between keels; keels thick and smooth near base, with horizontal and retrorse hairs near top; flaps hyaline. Anthers 3-4 mm long."
Acacia drummondii subsp. elegans,"Shrub usually 1-2 m tall. Branchlets ribbed, appressed-puberulous to subglabrous; hairs antrorse. Pinnae usually 2 pairs, 5-20 mm long (distal pinnae); rachis 3-8 mm long, to 20 mm long on 3-jugate leaves; pinnules usually 2-4 pairs, oblong to narrowly oblong or obovate, 5-12 mm long, usually 2-4 mm wide, flat or slightly recurved, green, glabrous to subglabrous; gland on rachis, and often also on petiole. Peduncles puberulous with patent or antrorsely appressed hairs. Petals commonly hairy. Pods puberulous with antrorsely curved or appressed hairs."
Stackhousia umbellata,"Scandent to procumbent, much-branched glabrous perennial to 1 m high. Leaves reduced to scales. Inflorescence a terminal umbelliform cluster; flowers subsessile to shortly pedicellate; bracts with hyaline erose margins, mucronate. Hypanthium 0.7-3 mm long. Sepals ovate, 2.5-3.2 mm long, shallowly erose, mucronate. Corolla yellow; tube 4-6.5 mm long; lobes 2.3-4 mm long, acuminate. Gynoecium 3-partite. Cocci 1-3, ellipsoidal, 3-3.5 mm long, shallowly reticulate, puberulent, with prominent projection of bony endocarp at base; basal cavity absent."
Diuris porrifolia,"Leaves 2 or 3, 100-200 x  8-13 mm, folded. Flower stem 150-350 mm, 1-7-flowered. Flowers porrect to semi-nodding, 18-25 mm across, pale yellow with red-brown markings; petals pale yellow; dorsal sepal pale yellow lightly stained with brown; labellum lobes variously stained and marked with red-brown. Dorsal sepal erect, 7-10 x  8-10 mm. Lateral sepals deflexed, 15-19 x  2.5-3 mm. Petals erect to obliquely erect; stalk 4-6 mm long, greenish red; blade narrowly elliptical to elliptical, 10-13 x  5-7 mm, reddish on reverse. Labellum 6-8 mm long; lateral lobes 6-8 x  3-4 mm; midlobe flattish or convex, narrowly wedge-shaped when flattened, 5-6 x  4-5 mm, tip decurved. Callus ridge 1, 2-3 mm long, yellow surrounded by red-brown."
Carnarvonia araliifolia var. montana,"Leaves palmate or pedately pinnate on mature trees; leaflets narrow, 4-8 cm wide, entire, toothed from c. middle of leaf blade to apex. Hairs on pedicel ferruginous, tortuous, many ±erect."
Caladenia branwhitei,"Leaf linear-lanceolate, 50-110 x  4-11 mm, densely hairy. Flower stem 200-320 mm tall, densely hairy, 1- or 2-flowered. Flowers 50-70 mm across, smell like hot metal, usually dark red to maroon, sometimes pale red or greenish red, calli reddish black, column dark red; sepals and petals with long, thin, blackish, glandular tips (no clubs). Dorsal sepal incurved, 35-55 x  2.5-3.5 mm. Lateral sepals obliquely deflexed to drooping, 35-55 x  3.5-5 mm, divergent. Petals similarly arranged, 30-45 x  2-3.5 mm. Labellum obscurely 3-lobed, 11-20 x  8-12 mm, red to crimson, base often paler; margins with numerous dark purple teeth to 2 mm long; tip recurved. Basal calli 6-8, erect, crowded, to 2 mm long. Lamina calli to 1.3 mm long, in 4 or 6 crowded rows onto base of midlobe. Column 12-14 x  6-7 mm; basal glands c. 1.2 mm long, obovoid, yellow with a red base."
Aloaceae,"Evergreen perennials, sometimes shrubby or arborescent. Leaves simple, alternate, sessile, in dense rosettes at stem ends, succulent, often spine-pointed; margins often toothed. Flowers bisexual, in a terminal spike, raceme, or panicle on a scape-like axillary shoot. Sepals 3, petaloid, connivent or connate into a straight or swollen tube; limb regular or bilabiate. Petals 3, often free. Stamens 6, hypogynous; anthers longitudinally dehiscent. Ovary trilocular, superior; placentation axile; ovules numerous; septal nectaries usually present; style 1; stigma discoid or trilobate. Fruit a loculicidal capsule, rarely fleshy and berry-like. Seeds few to many, commonly winged or flattened."
Aristolochia meridionalis subsp. meridionalis,"Leaves sagittate to ovate-sagittate, sometimes triangular but always less than three times as long as wide, 1.2-9 cm long, 0.9-5 cm wide."
Pimelea sessilis,"Shrub usually 15-40 cm high. Leaves sessile and somewhat stem-clasping, elliptic to almost circular, usually discolorous; lamina usually 6-15 mm long and 6-9 mm wide; margins recurved. Inflorescence erect; involucral bracts 4, broadly elliptic to almost circular, 7-15 mm long, 6-14 mm wide, hairy inside, not ciliate. Flowers bisexual or rarely female, glabrous inside, white or cream. Hypanthium not circumscissile, 8-11 mm long; ovary-portion usually with minute hairs and sparse long hairs; style-portion 6.5-8.5 mm long, with long spreading hairs but no small hairs in lower half and medium-sized antrorse hairs above. Sepals 3-5 mm long. Stamens exceeding sepals; filament 2.5-4 mm long; anther locules semi-latrorse."
Grevillea bipinnatifida,"Spreading shrub 0.25-1 m high. Leaves 4-15 cm long, usually bipinnatifid or rarely once-pinnatifid, with 6-18 primary lobes; ultimate lobes usually triangular, 0.3-2 cm long, 0.5-1 cm wide, pungent; margins flat to shortly recurved; lower surface usually glabrous and glaucous, rarely openly subsericeous. Conflorescence simple or occasionally branched; unit conflorescence erect to decurved, loosely secund; floral rachis 40-200 mm long. Flower colour: perianth variably dull pinkish to crimson, occasionally pale green or pale orange, sometimes limb paler; style various shades of red. Perianth somewhat saccate at base, tomentose outside with both biramous and simple erect glandular hairs, glabrous inside. Pistil 34-42 mm long; style loosely tomentose to pilose with both biramous and simple erect glandular hairs, becoming ±glabrous towards apex. Follicle 17-21 mm long, tomentose with mainly biramous hairs and a scattering of simple erect glandular hairs."
Dysphania glomulifera,"Prostrate to erect annual or short-lived perennial to 15 cm high, sparsely covered with sessile or stipitate gland-tipped hairs. Leaves narrowly to broadly elliptic, entire; lamina c. 5 mm long; petiole slender, c. ½ length of lamina. Flowers in axillary glomerules. Terminal flower of glomerule bisexual; tepals 3, obovate, c. 0.7 mm long, fleshy except scarious margin, glabrous or almost so, free or shortly united; stamens 2; style 1 or 2. Lateral flowers of glomerule female; tepals 1 or 2 with a white bladdery hooded limb, the claw narrow; styles 1 or 2. Fruiting tepals 0.7-1 mm long; limb inflated and fungoid covering fruit. Pericarp dull, adherent, puncticulate, papillate, or granulate. Seed erect, bluntly ellipsoidal or compressed-obovoid, c. 0.5 mm long; embryo slightly curved on dorsal-lateral margin beneath embryo-groove; radicle inferior."
Eriochilus helonomos,"Leaf well-developed at flowering time, held obliquely erect on flower stem 10-50 mm above ground, narrowly ovate to ovate, 5-18 x  5-10 mm, dark green, sometimes reddish, glabrous, margins entire or wavy, sometimes brown, apex sharply acute. Flower stem 50-150 mm long, wiry, base dark purple, sparsely hairy, 1-3-flowered. Flowers 9-12 x  9-12 mm, dorsal sepal white externally, internally dark red, petals green and dark red (sometimes appearing wholly dark red), lateral sepals white, labellum white or greenish with purple and white bristles. Dorsal sepal incurved, 6-11 x  2-3 mm. Lateral sepals 7-15 x  2-4 mm, basal stalk c. 2 mm long. Petals closely flanking column or incurved under dorsal sepal, 6-10 x  0.5-1.5 mm. Labellum 6-9 x  2-4 mm when flattened; midlobe recurved, broadly elliptic, 3-4 x  2-4 mm, fleshy. Column 5-7 x  2-3 mm with greenish anther."
Oligochaetochilus macrocalymmus,"Rosette leaves 6-10, elliptic, 20-60 x 8-16mm. Flower stem 60-250mm tall, 3-5mm across, 2-10-flowered. Sterile bracts 4-5. Flowers crowded, semi-nodding to nodding, 25-28 x 10-12mm, translucent white with brown or green markings, hairy. Dorsal sepal point filamentous, 8-18mm long, decurved. Lateral sepals as wide as hood, deeply concave, margins incurved, hairy; free points filamentous, 20-25mm long, curved forwards or upwards, divergent. Petals with small basal flanges, 18-20 x 6-7mm. Labellum spathulate, 7-8.5 x 3.5-4mm, dark brown, fleshy, broadly channelled, covered with short hairs, apex upturned; marginal bristles 10-16, 2-4mm long; basal lobe small, with few short bristles."
Acacia wickhamii subsp. wickhamii,"Shrub (0.25-) 0.4-1.3 (-1.6) m high, erect or low spreading. Phyllodes mostly spreading at acute angles to branchlets (occasionally some phyllodes at right angles), narrowly elliptic to elliptic, narrowly lanceolate to lanceolate or sometimes narrowly ovate to ovate, usually ±sigmoid, flat or slightly undulate, (0.8-) 1-2.5 (-3) cm long, (3-) 3.5-8 (-10) mm wide, usually green or bright green, sometimes becoming grey-green or slightly glaucous, with 3 or more obscure to subprominent main nerves. Heads spicate or rarely obloid, (0.8-) 1-3.5 cm long. Peduncles (5-) 10-15 (-18) mm long. Pods to 6.5 cm long, 4.5-10 mm wide."
Blennodia,"Annual herbs. Sepals dimorphic. Petals clawed. Stamens 6, erect. Stigma capitate or roof-like. Siliqua dehiscent; valves with distinct midvein. Seeds in more or less 2 rows, mucous. Radicle incumbent."
Lomandra sect. Lomandra,"Male inflorescence spike-like, raceme-like or panicle-like; flowers pedicellate or sessile, 1-3 at a node or several in a whorl, or in distinct clusters, often whorled; rachis branched or unbranched. Female inflorescence usually similar but often smaller, with fewer and smaller branches; flowers usually sessile, arranged as in the male. Cluster bracts absent or present, ovate or broadly triangular, acute, acuminate or irregular, inconspicuous; intermediary bracts present or absent; outer and inner bracts opposite and imbricate, or inner bract smaller than and lateral to outer bract or absent. Sepals and petals free, or joined near base by filaments."
Atriplex semilunaris,"Weak decumbent to erect perennial c. 25 cm high, monoecious. Leaves thin, narrow to broadly obovate, obtuse, lamina 15-40 mm long, coarsely and bluntly toothed, both surfaces with a scaly sheen or the upper almost glabrous, narrowed at base into a petiole 5-10 mm long. Flowers in mixed clusters in the upper leaf axils and in terminal spikes or panicles. Fruiting bracteoles rhombic, c. 4 mm high and wide, spinulose on margin, free except at the deltoid base which passes into a short stipe, c. 0.5 mm long; appendages on both bracteoles forming a spiny semicircle on lower half, or the semicircle divided into two. Seed with erect radicle."
Amphipogon laguroides subsp. havelii,"Leaves glabrous or softly pilose; blade flat or rolled when fresh, 15-20 cm long, 0.8-1.5 mm wide, stiff. Inflorescences hemispherical or spherical to rounded conical, c. 60 mm long (10-15 without awns), c. 60 mm wide. Bisexual spikelets c. 25 mm long; glumes 7-8 mm long with 1.5-3 mm long awn; lemma body 3.2 mm long; lemma lobes 21-23 mm long, including awn c. 20 mm long."
Trithuria,"Tufted annual herbs, subaquatic, becoming red-tinted after anthesis. Leaves linear, flattened. Capitula numerous, sessile or scapose, heterogamous, each with 1-5 male and 5-25 female flowers; bracts 2 or 4-8, ovate to lanceolate, erect or spreading, never sheathing. Male flower: anther oblong to elliptic, usually persistent; filament rigid, straight. Female flower: ovary trigonous or ovoid-trigonous; stigmatic hairs 2-6, attached directly to apex of ovary. Fruit dehiscent or indehiscent, with 3 equally spaced longitudinal ribs formed by prominent vascular bundles. Seed smooth or sculptured."
Senna artemisioides subsp. x coriacea,"Shrub or small tree to 3 m high, sparsely pubescent with appressed hairs except for the inner floral parts, sometimes glaucous. Leaves 1-5 cm long including a terete petiole 6-10 (-15) mm long; stipules acicular, ±caducous; leaflets in (1-) 2-6 pairs spaced 6-8 mm apart, linear to elliptic or obovate, 7-15 (-30) mm long, 2-6 mm wide, recurved at the margins, obtuse; gland 1, between the basal pair of leaflets, sessile, flat or somewhat conical. Inflorescence subumbellate, of 6-10 flowers, in upper axils; peduncle 1-10 mm long; pedicels 5-10 mm long; bracts caducous. Petals 5-8 mm long. Fertile stamens 10; filaments subequal, 1-2 mm long; anthers subequal, 2-4 mm long. Pod flat, 3-5 cm long, 10-12 mm wide, straight or slightly curved, entire. Seeds dull."
Patersonia lanata,"Densely tufted herb. Leaves ensiform, 15-40 cm long, 2-7 mm wide, flat, glabrous, ±glaucous; margins glabrous or tomentose near base. Scape 12-40 cm long, clasped by 1 reduced leaf. Spathes triangular, 2.5-3.2 cm long, prominently veined, dark brown. Inflorescence 16-24 mm wide, gaping; inner bracts exposed, similar to spathes. Tube 2-2.5 cm long, lower half tomentose. Sepals broadly elliptic, obtuse, 2-3 cm long, 1.8-2.7 cm wide, blue-violet. Petals cuneate. Filaments 4-5 mm long, completely connate. Ovary tomentose. Capsule ovoid-cylindrical, c. 2 cm long. Seeds cylindrical, c. 2.5 mm long, wrinkled, with large pit, brown; aril absent."
Harrisia martinii,"Stems sprawling or clambering, to 3 m or more long, stems much-branched and tangled together and forming an impenetrable mass. Stems green to grey-green, 2.5-4 cm diam. Young stems pointed, 4- or 5-ribbed, older stems round in cross-section. Ribs low, tuberculate, separated by a distinct line at sulcus. Areoles borne on tubercles, c. 1.5-2.5 (-3.5) cm apart. Central spines 1 or 2 (-4), 1.5-2 times as long as radial spines, 10-35 mm long. Radial spines 5-7, 1-6 mm long. Flowers 15-22 cm long, 15-18 cm diam. Pericarpel green, having areoles similar to stem areoles with spines and without scaly trichomes. Hypanthium green to reddish green, scales red-purple, deltoid, with white hairs, lower areoles often similar to stem areoles with spines and without scaly trichomes. Mid-hypanthium scales 2.7-4.9 mm long, 1.3-3.8 mm wide. Outer tepals green to pinkish green. Inner tepals white. Fruits globose, 3-4 cm diam., tuberculate, red, usually spiny, scales deciduous. Seeds 2-2.5 mm long, black."
