"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Senecio vagus subsp. vagus","Erect glabrescent perennial herb to 1.3 m high. Leaves mostly pseudopetiolate, or the uppermost sometimes sessile, not auriculate at base, ovate to lanceolate, 4–14(–18) cm long, 1–8(–10) cm wide, the largest usually pinnatifid to bipinnatisect, the lower lobes often cleft to the midrib, occasionally merely coarsely toothed, rarely subentire; surfaces glabrous to sparsely and minutely hispid; margins and midrib often with gland-like papillae. Inflorescence an open corymb of c. 3–15 capitula; capitula radiate; involucre campanulate, 8–15 mm long; bracts 12–15, sparsely to densely covered with black glandular papillae; bracteoles prominent, from c. half as long as to subequal to bracts, similarly papillate along margins. Ray florets 6–9, bright yellow, ligules 8–16 mm long; disc florets c. 25–50, yellow. Cypselas cylindric, 3.5–5 mm long, glabrous to very sparsely hairy, blackish, boldly 6–8-ribbed, the ribs usually somewhat wrinkled; pappus of white barbellate hairs 7–9 mm long, deciduous. Flowers Oct.–Mar."," erect glabrescent perennial herb to 1.3 m high. ","perennial","perennial","herb","herb",,,,,"erect","erect"
"Schizacme montana","Mat-forming herb to c. 20 cm high; branches c. nodular with residual leaf-bases. Leaves slightly fleshy, spathulate, narrowly obovate to obovate or elliptic, 5–14 mm long, (1.5–)2–5 mm wide, glabrous or with a few hairs, margin flat, apex acute. Flowers solitary in upper axils; pedicels 2–20 mm long, up to 30 mm long in fruit, sparsely and minutely hairy. Calyx 3–4 mm long, tube very short; broader pair of lobes elliptic, ovate or spathulate, 1.5–2 mm wide, obtuse, narrower pair of lobes narrowly ovate or narrowly obovate, 1.2–1.5 mm wide, acute, ciliate at base; corolla 3–5 mm long, lobes 2–3 mm long. Capsules c. 3 mm long, 4–7 mm wide. Flowers Nov.–Feb."," mat-forming herb to circa 20 cm high; ",,,"herb","herb",,,,,"mat-forming","matforming"
"Pteridium","Rhizome creeping, coarse, covered in hairs. Lamina harsh, pinnate, with ultimate segments c. 2 mm broad, dark green. Rachises grooved; veins in pinnules free below the sori. Sori linear, marginal; sporangia borne on continuous submarginal vein, protected by inner membranous indusium (sometimes much reduced) and recurved lamina margin; spores tetrahedral.","  ",,,,,,,,,,
"Hydrangeaceae","Small trees, shrubs, or subshrubs, sometimes climbers; monoecious, polygamous or dioecious. Leaves opposite, rarely whorled or alternate, simple, entire, toothed or lobed, petiolate; stipules absent. Inflorescences terminal, occasionally axillary, cymose, sometimes in corymbs, thyrses or panicles. Flowers bisexual or unisexual, fertile or sterile; sterile flowers with enlarged showy sepals; sepals 4–12, free or united at base, imbricate or valvate in bud; petals 4–12, fused or free, imbricate, valvate or convolute; stamens 4–numerous, free or united at base; ovary semi-inferior or inferior, 2–12-celled, ovules 2–many per cell, erect, horizontal or pendant, anatropous, style single, sometimes bifid, or free, stigma terminal or decurrent along style, sometimes capitate. Fruit a capsule, rarely a berry; seed ellipsoidal, fusiform, obovoid, urceolate, lageniform or horn-shaped."," small trees, shrubs, or subshrubs, sometimes climbers; monoecious, polygamous or dioecious. ",,,"subshrub shrub tree climber","subshrubs shrubs trees climbers",,,"dioecious monoecious polygamous","dioecious monoecious polygamous",,
"Asparagus asparagoides","Climbing herb to 3 m high, with a short, branching rhizome producing clusters of fleshy tubers. Cladodes broadly lanceolate, one per bract axil, 10–70 mm long, 4–30 mm wide. Flowers bisexual, solitary in axils, 8–9 mm wide, white to pale green, segments apically reflexed, overlapping basally to form a short tube; stamens shorter than the perianth; ovary 2 mm long. Berry globular, 6–10 mm diam., red. Seeds few-numerous, 3–4 mm long. Smilax (Bridal Creeper). Flowers Aug.–Sep."," climbingherb to 3 m high, with a short, branching rhizome producing clusters of fleshy tubers. smilax (bridal creeper). ",,,"climber_herbaceous","climbingherb",,,,,"rhizomatous","rhizome"
"Goodenia radicans","Prostrate, often mat-forming herb; stems to c. 50 cm long. Leaves spathulate to obovate, 1–11 cm long, 2–35 mm wide, glossy. Peduncles to 5 cm long; bracteoles linear, 1–3 mm long; pedicels to 12 mm long; sepals ovate to oblong, 3–5 mm long, adnate to ovary; corolla 5–12 mm long, glabrous; indusium subglobose, with silky hairs at base, minutely ciliate at orifice. Fruit ovoid, 4–5 mm long; seeds circular to elliptic, c. 2 mm wide, flattened, wing c. 0.5 mm wide, usually crumpled, sticky when wet. Flowers mainly Oct.–Apr."," prostrate, often mat-forming herb; ",,,"herb","herb",,,,,"mat-forming prostrate","matforming prostrate"
"Eucalyptus obliqua","Tree to 90 m tall; bark rough to the small branches, stringy. Juvenile leaves petiolate, opposite for few pairs then alternate, broadly ovate, oblique, pendulous, to 19 cm long, 8 cm wide, glossy, green; adult leaves petiolate, alternate, broadly lanceolate, oblique, 10–13 cm long, 1.5–3.5 cm wide, concolorous, glossy, green; reticulation moderate, with numerous island oil glands or glands irregular or obscure. Inflorescences axillary, unbranched; peduncles to 1.5 cm long, 7–15(or more)-flowered; buds pedicellate, clavate, to 0.7 cm long, 0.4 cm diam., no scar (single operculum); operculum hemispherical; stamens irregularly flexed; anthers dorsifixed, reniform; ovules in 2 vertical rows; flowers white. Fruit pedicellate, barrel-shaped or truncate-globose, to 1.1 cm long, 0.9 cm diam.; disc descending; valves 3 or 4, below rim; seed dark brown, glossy, smooth, pyramidal but distorted by one curved face, hilum terminal. Flowers Dec.–Mar."," tree to 90 m tall; ",,,"tree","tree",,,,,,
"Kennedia prostrata","Prostrate or rarely twining herb; stems wiry, to 2 m long or more, hirsute at first, glabrescent later. Leaflets orbicular to broad-obovate, 6–35 mm long, 6–35 mm wide, upper surface more or less glabrous, lower surface pubescent, apices often notched, sometimes mucronate; petiole 0.5–5 cm long; lateral leaflets subsessile; upper leaflet on petiolule 2–9 mm long; stipules cordate, c. 5 mm long, leafy; stipellae filiform, c. 2 mm long. Flowers usually 1 or 2; peduncle 5–30 mm long; pedicel 5–25 mm long; bracts 2–5 mm long, pubescent, persistent; calyx 6–8 mm long, pubescent; corolla 15–25 mm long, scarlet, rarely white; standard obovate with a yellow basal callus; wings shortest; keel nearly as long as standard. Pod more or less cylindric, 20–50 mm long, 5–8 mm wide, pubescent; seeds 5–8, ovoid, 3–4 mm long. Flowers mostly Aug.–Nov."," prostrate or rarely twining herb; ",,,"herb","herb",,,,,"prostrate","prostrate"
"Olearia tubuliflora","Slender, erect shrub to c. 2.5 m high; branchlets cottony-pubescent, usually sparsely glandular. Leaves alternate, sessile or subsessile, linear or narrowly elliptic or obovate, 2–8 mm long, 0.5–2 mm wide, obtuse; upper surface green, glabrous or pubescent, sometimes scabrous; lower surface greyish, cottony-pubescent, partly to largely obscured by the revolute margins. Capitula 2–3 mm diam., sessile, solitary in leaf-axils, crowded toward branch-tips; involucre conical, 1.7–2.5 mm long; bracts 2–3-seriate, graduating, obtuse to acute, sparsely to moderately pubescent, green, often purple-tipped. Ray florets 3–5, tube shorter than style, ligules not developed; disc florets 3–6, yellow, longer than involucre. Cypsela cylindric, 1–1.5 mm long, 6-ribbed, sparsely sericeous; pappus bristles whitish, c. 2 mm long. Flowers Sep.–Dec."," slender, erect shrub to circa 2.5 m high; ",,,"shrub","shrub",,,,,"erect","erect"
"Hypolepis elegans subsp. elegans","Rhizome up to 5 mm diam., covered with pale-brown hairs. Fronds erect, to 120 cm long. Stipe long, 4–8 mm diam., dark chestnut-brown at base, lighter above, densely covered at base with fine, colourless, non-glandular hairs up to 0.5 mm long, sparsely hairy above, slightly rough. Lamina 4–5-pinnate, broadly triangular, usually broader than long, mid-green to dark green; hairs on both surfaces colourless or brown-tinged, stiff, curved, sharply pointed, non-glandular. Rachises chestnut-brown at base, yellow-brown or green at apex, covered by hairs similar to those of lamina. Pinnules curved-oblong; bases decurrent, forming wing on rachis; margins crenate to roundly lobed; apices obtuse or acute; veins several per lobe. Sori near margin, protected from earliest stages by obvious reflexed, incised, membranous flap.","  ",,,,,,,,,,
"Dimorphotheca","Annual or perennial herbs or subshrubs, prostrate to erect. Leaves alternate (rarely opposite or whorled), entire to lobed. Inflorescences of single terminal, pedunculate capitula; involucre hemispheric to cupular, bracts in 1–2 series, linear to lanceolate; receptacle flat or convex, without scales or bristles. Ray florets fertile, 3-toothed at apex, yellow, orange, pink, purple, or white, often blue or purple abaxially. Disc florets numerous, bisexual or staminate only; corolla tube very short, yellow or purple; anther base sagittate, short-tailed, tip ovate or triangular-ovate; style branches very short. Cypselas 3-angled or sometimes narrowly 3-winged, smooth or with tubercles, glabrous; cypselas of disc florets (if developed) smooth, obovate, flattened, winged, glabrous; pappus absent."," annual or perennial herbs or subshrubs, prostrate to erect. ","annual perennial","annual perennial","herb subshrub","herbs subshrubs",,,,,"erect prostrate","erect prostrate"
"Hibbertia sericea","Erect, spreading or rarely decumbent shrubs 30–70 cm high; branches pubescent. Vestiture of tubercle-based hairs of usually coarser simple hairs over few-branched stellate hairs. Leaves subsessile, elliptic to obovate, 1.8–22 mm long, 0.9–5.1 mm wide; puberulous to pubescent above, tomentose below; acute to obtuse with central ridge not obviously continued into apex; margins revolute. Flowers sessile, in terminal clusters of 1–7(–12), with reduced leaf-like bracts 3.5–10.6 mm long, all obscured by surrounding bract-like leaves that are usually broader and more discolorous than lower leaves; sepals 5.1–7.7 mm long, unequal, tomentose; petals obovate, 5.5–11.3 mm long, bright yellow; stamens 8–14 in one cluster; filaments free to slightly connate; carpels 2, tomentose to villous. Flowers Aug.–Dec. "," erect, spreading or rarely decumbent shrubs 30–70 cm high; ",,,"shrub","shrubs",,,,,"erect decumbent spreading","erect decumbent spreading"
"Correa backhouseana var. backhouseana","Rounded shrub to 2 m high; branches smooth. Leaves coriaceous, broadly elliptic to ovate, 1.5–3 cm long, 6–18 mm wide, apex obtuse, base obtuse to subcordate, upper surface smooth and glabrous, lower surface densely tomentose, margins entire, flat or slightly recurved; petiole 2–3 mm long. Inflorescence 1–3-flowered, terminating short branches; pedicels 5–10 mm long, tomentose; bracteoles submedial to basal, linear, deciduous. Flowers usually pendent; calyx hemispherical, 3–7 mm long, truncate to gently or deeply undulate and then with recurved margin, densely fawn-tomentose; corolla broadly cylindric, c. 2.5 cm long, cream to very pale yellow-green, petals fused; stamens just exserted, filaments widening at base. Flowers winter–summer."," rounded shrub to 2 m high; ",,,"shrub","shrub",,,,,,
"Allium ampeloprasum","Bulb broadly ovoid or subglobose, 2–6 cm diam., usually with numerous bulblets. Scape terete, erect, 50–200 cm long, 4–12 mm diam. Leaves 4–10, sheathing the lower half of the scape, channelled, 10–50 cm long, 5–40 mm wide. Umbel almost spherical, many-flowered, without bulbils; pedicels 1.5–5 cm long; spathe deciduous; perianth cup-shaped or campanulate, segments ovate, 4–5.5 mm long, usually pink, papillate on outer surface; stamens exceeding-perianth, the inner 3 deeply trilobed, the central lobe anther-bearing. Capsule c. 4 mm long. Flowers Dec.–Feb.","  ",,,,,,,,,,
"Pomaderris helianthemifolia subsp. minor","Shrubs 1–2 m high; branchlets greyish to rusty, stellate-pubescent, rarely with scattered simple hairs. Leaves narrow-obovate, (5–)6–9(–13) mm long, 2–4 mm wide, obtuse, margins recurved, upper surface hispid with simple hairs, lower surface greyish and densely stellate-pubescent, midrib with sparse simple hairs, secondary veins obscure; stipules 1–2.5 mm long, deciduous. Inflorescence of small pyramidal panicles, terminal and/or upper-axillary, usually c. 20–50-flowered; bracts deciduous. Pedicels 1–1.5 mm long. Flowers cream or yellow, externally stellate-pubescent, with scattered simple hairs; hypanthium 0.5–1 mm long; sepals 1.5–2 mm long, deciduous; petals absent; disc hisipid with simple and/or stellat hairs; ovary superior, glabrous, style branched near base. Capsule indented at apex; operculum membranous, sub-equal to mericarp, or indistinct. Flowers Oct.–Nov."," shrubs 1–2 m high; ",,,"shrub","shrubs",,,,,,
